clinica,nombre_completo,cmp,codigo_medico,activo,experiencia,url_imagen,url_cita,especialidad_slug,especialidad,description_card,sede_slug,sede_title,sede_adress,distrito,tipo_atencion_slug,tipo_atencion_title,dia,hora_inicio,hora_fin,fecha_scraping
Clínica Anglo Americana,"acosta serna, gilberto",75022,96973,True,Pregrado: Universidad Nacional Hermilio Valdizán Posgrado: Universidad Ricardo Palma Fellowship / Especialidad: Especialista en Anestesiología Grados académicos: Título de Médico cirujano Título de An...,https://clinicaangloamericana.pe/wp-content/uploads/2022/08/GILBERTO-ACOSTA-800x800-1-380x380.jpg,https://clinicaangloamericana.pe/medicos/anestesiologia/acosta-serna-gilberto/,anestesiología,Anestesiología,Médico especialista en Anestesiología,sede-principal,Sede Principal,,,presencial,Presencial,EMAIL,,,2025-11-22
Clínica Anglo Americana,"alarcón menéndez, pedro",6708,193,True,"Pregrado: Facultad de Medicina, Universidad Nacional Mayor de San Marcos (1970) Posgrado: Pediatría, Hospital del Niño, UNMSM (1970 - 1973) Fellowship / Especialidad: Gastroenterología Pediátrica y Nu...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Alarcon-Pedro.png,https://clinicaangloamericana.pe/medicos/gastroenterologia-pediatrica/alarcon-menendez-pedro/,gastroenterología-pediátrica,Gastroenterología Pediátrica,Médico especialista en Gastroenterología Pediátrica,sede-principal,Sede Principal,,,presencial,Presencial,EMAIL,,,2025-11-22
Clínica Anglo Americana,"alarcón menéndez, pedro",6708,193,True,"Pregrado: Facultad de Medicina, Universidad Nacional Mayor de San Marcos (1970) Posgrado: Pediatría, Hospital del Niño, UNMSM (1970 - 1973) Fellowship / Especialidad: Gastroenterología Pediátrica y Nu...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Alarcon-Pedro.png,https://clinicaangloamericana.pe/medicos/gastroenterologia-pediatrica/alarcon-menendez-pedro/,gastroenterología-pediátrica,Gastroenterología Pediátrica,Médico especialista en Gastroenterología Pediátrica,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Martes,09:00,12:00,2025-11-22
Clínica Anglo Americana,"alarcón menéndez, pedro",6708,193,True,"Pregrado: Facultad de Medicina, Universidad Nacional Mayor de San Marcos (1970) Posgrado: Pediatría, Hospital del Niño, UNMSM (1970 - 1973) Fellowship / Especialidad: Gastroenterología Pediátrica y Nu...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Alarcon-Pedro.png,https://clinicaangloamericana.pe/medicos/gastroenterologia-pediatrica/alarcon-menendez-pedro/,gastroenterología-pediátrica,Gastroenterología Pediátrica,Médico especialista en Gastroenterología Pediátrica,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Miércoles,09:00,12:00,2025-11-22
Clínica Anglo Americana,"alarcón menéndez, pedro",6708,193,True,"Pregrado: Facultad de Medicina, Universidad Nacional Mayor de San Marcos (1970) Posgrado: Pediatría, Hospital del Niño, UNMSM (1970 - 1973) Fellowship / Especialidad: Gastroenterología Pediátrica y Nu...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Alarcon-Pedro.png,https://clinicaangloamericana.pe/medicos/gastroenterologia-pediatrica/alarcon-menendez-pedro/,gastroenterología-pediátrica,Gastroenterología Pediátrica,Médico especialista en Gastroenterología Pediátrica,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Jueves,09:00,12:00,2025-11-22
Clínica Anglo Americana,"alarcón menéndez, pedro",6708,193,True,"Pregrado: Facultad de Medicina, Universidad Nacional Mayor de San Marcos (1970) Posgrado: Pediatría, Hospital del Niño, UNMSM (1970 - 1973) Fellowship / Especialidad: Gastroenterología Pediátrica y Nu...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Alarcon-Pedro.png,https://clinicaangloamericana.pe/medicos/gastroenterologia-pediatrica/alarcon-menendez-pedro/,gastroenterología-pediátrica,Gastroenterología Pediátrica,Médico especialista en Gastroenterología Pediátrica,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Viernes,09:00,12:00,2025-11-22
Clínica Anglo Americana,"alarcón menéndez, pedro",6708,193,True,"Pregrado: Facultad de Medicina, Universidad Nacional Mayor de San Marcos (1970) Posgrado: Pediatría, Hospital del Niño, UNMSM (1970 - 1973) Fellowship / Especialidad: Gastroenterología Pediátrica y Nu...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Alarcon-Pedro.png,https://clinicaangloamericana.pe/medicos/gastroenterologia-pediatrica/alarcon-menendez-pedro/,gastroenterología-pediátrica,Gastroenterología Pediátrica,Médico especialista en Gastroenterología Pediátrica,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Lunes,15:00,18:00,2025-11-22
Clínica Anglo Americana,"alarcón menéndez, pedro",6708,193,True,"Pregrado: Facultad de Medicina, Universidad Nacional Mayor de San Marcos (1970) Posgrado: Pediatría, Hospital del Niño, UNMSM (1970 - 1973) Fellowship / Especialidad: Gastroenterología Pediátrica y Nu...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Alarcon-Pedro.png,https://clinicaangloamericana.pe/medicos/gastroenterologia-pediatrica/alarcon-menendez-pedro/,gastroenterología-pediátrica,Gastroenterología Pediátrica,Médico especialista en Gastroenterología Pediátrica,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Jueves,15:00,18:00,2025-11-22
Clínica Anglo Americana,"alfaro ita, sheyla",40522,96514,True,Pregrado: Universidad San Martín de Porras Posgrado: Universidad Nacional Mayor de San Marcos Pasantías: Intervencionismo oncológico en el Hepatocarcinoma - Hospital Clinic de Barcelona Grados académi...,https://clinicaangloamericana.pe/wp-content/uploads/2022/06/SHEYLA-ALFARO-800x800-1-380x380.jpg,https://clinicaangloamericana.pe/medicos/imagenes-radiologia-intervencionista/alfaro-ita-sheyla/,imágenes---radiología-intervencionista,Imágenes - Radiología Intervencionista,Médico especialista en Imágenes - Radiología Intervencionista,sede-principal,Sede Principal,,,presencial,Presencial,EMAIL,,,2025-11-22
Clínica Anglo Americana,"alfaro ita, sheyla",40522,96514,True,Pregrado: Universidad San Martín de Porras Posgrado: Universidad Nacional Mayor de San Marcos Pasantías: Intervencionismo oncológico en el Hepatocarcinoma - Hospital Clinic de Barcelona Grados académi...,https://clinicaangloamericana.pe/wp-content/uploads/2022/06/SHEYLA-ALFARO-800x800-1-380x380.jpg,https://clinicaangloamericana.pe/medicos/imagenes-radiologia-intervencionista/alfaro-ita-sheyla/,imágenes---radiología-intervencionista,Imágenes - Radiología Intervencionista,Médico especialista en Imágenes - Radiología Intervencionista,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Miércoles,15:00,18:30,2025-11-22
Clínica Anglo Americana,"allen lengua, clifford",,195,True,"COP: 5266   Pregrado: Facultad de Odontología, Universidad Nacional Federico Villareal (1986). Posgrado: Implantología oral, Misch Implant Institute, Universidad de Pittsburg, U.S.A. (1996). Implantol...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Allen-Clifford-1.png,https://clinicaangloamericana.pe/medicos/odontologia/allen-lengua-clifford/,odontología,Odontología,Médico especialista en Odontología,sede-principal,Sede Principal,,,presencial,Presencial,EMAIL,,,2025-11-22
Clínica Anglo Americana,"allen lengua, clifford",,195,True,"COP: 5266   Pregrado: Facultad de Odontología, Universidad Nacional Federico Villareal (1986). Posgrado: Implantología oral, Misch Implant Institute, Universidad de Pittsburg, U.S.A. (1996). Implantol...",https://clinicaangloamericana.pe/wp-content/uploads/2015/04/Allen-Clifford-1.png,https://clinicaangloamericana.pe/medicos/odontologia/allen-lengua-clifford/,odontología,Odontología,Médico especialista en Odontología,san-isidro,San Isidro,"Alfredo Salazar N° 350, San Isidro",San Isidro,presencial,Presencial,Lunes,11:00,17:00,2025-11-22
