clinica,nombre_completo,cmp,codigo_medico,activo,experiencia,url_imagen,url_cita,especialidad_slug,especialidad,description_card,sede_slug,sede_title,sede_adress,distrito,tipo_atencion_slug,tipo_atencion_title,dia,hora_inicio,hora_fin,fecha_scraping
Clínica San Pablo,Dr. Gadif Abuhadba Del Castillo,35423,14770090,True,"1. ESTUDIOS: - FACULTAD DE MEDICINA HUMANA, UNIVERSIDAD SAN MARTÍN DE PORRES Cirugía plástica reparadora y estética Microcirugía Quemados - TÍTULO DE ESPECIALISTA, UNIVERSIDAD GAMA FILHO Cirugía plástica y reparadora Río de Janeiro, Brasil - CESANTE 2. FORMACIÓN CONTINUA EN EL EXTRANJERO: - Curso de Cirugía General Colegio Brasileiro de Cirujanos Marzo - mayo 2001. - Curso anual de cirugía plástica y cirugía de mano 2002/2005 ESANTA - Escuela de Estudios del Hospital Santa Casa Misericordia Rj, Brasil. Marzo - noviembre 2003. - Curso de cirugía de Mano y Dolor y Miembro Superior Hospital Santa Casa de Sao Paulo. - Curso de Microcirugía - Laboratorio Facultad de Medicina de la Universidad de Sao Paulo, Brasil. - Congreso Cirugía Reconstructiva Sociedad Peruana de Cirugía Plástica. 3. MIEMBRO DE IPRAS - (International Confederation for Plastic Reconstructive & Aesthetic Surgery) 4. EXPERIENCIA LABORAL: Clínica San Pablo.",https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-35423.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,cirug.plastica-estet.quemados,Cirug.Plastica Estet.Quemados,Médico especialista en Cirug.Plastica Estet.Quemados,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Martes,11:00,12:30,2025-11-22
Clínica San Pablo,Dr. Giafar Abuhadba Rondon,36884,14770093,True,"1. ESTUDIOS: - Especialidad en Cirugía Vascular, Angiología y Endovascular. - Instituto de Post-Graduación Médica Carlos Chagas. Post-Grado en Cirugía Vascular y Angiología - Río de Janeiro, Brasil. - Servicio Internacional de Técnicas Endovasculares (SITE). Post-Grado en Cirugía Endovascular - Río de Janeiro, Brasil. - Universidad Federal Fluminense. Servicio de Cirugía Vascular. Hospital Universitario Antonio Pedro. Cirugía de Trauma Arterial y Cirugía Endovascular - Niterói, Río de Janeiro, Brasil. - Instituto Superior de Ciencias de la Salud (INCISA). Post-Grado en Medicina Estética - Río de Janeiro, Brasil. - Universidad Particular de San Martín de Porres. Pre-Grado Facultad de Medicina Humana – Lima, Perú. 2. EXPERIENCIA PROFESIONAL: - Hospital Nacional Guillermo Almenara (EsSalud) Asistente del Servicio de Cirugía Cardiaca y Vascular: 04/2010 a la fecha. - Hospital 2 de Mayo Asistente del Servicio de Cirugía Vascular. - Instituto Nacional del Corazón (INCOR) Asistente del Servic",https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-35423.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,cirugia-vascular-periferica,Cirugia Vascular Periferica,Médico especialista en Cirugia Vascular Periferica,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Martes,03:30,06:00,2025-11-22
Clínica San Pablo,Dr. Giafar Abuhadba Rondon,36884,14770093,True,"1. ESTUDIOS: - Especialidad en Cirugía Vascular, Angiología y Endovascular. - Instituto de Post-Graduación Médica Carlos Chagas. Post-Grado en Cirugía Vascular y Angiología - Río de Janeiro, Brasil. - Servicio Internacional de Técnicas Endovasculares (SITE). Post-Grado en Cirugía Endovascular - Río de Janeiro, Brasil. - Universidad Federal Fluminense. Servicio de Cirugía Vascular. Hospital Universitario Antonio Pedro. Cirugía de Trauma Arterial y Cirugía Endovascular - Niterói, Río de Janeiro, Brasil. - Instituto Superior de Ciencias de la Salud (INCISA). Post-Grado en Medicina Estética - Río de Janeiro, Brasil. - Universidad Particular de San Martín de Porres. Pre-Grado Facultad de Medicina Humana – Lima, Perú. 2. EXPERIENCIA PROFESIONAL: - Hospital Nacional Guillermo Almenara (EsSalud) Asistente del Servicio de Cirugía Cardiaca y Vascular: 04/2010 a la fecha. - Hospital 2 de Mayo Asistente del Servicio de Cirugía Vascular. - Instituto Nacional del Corazón (INCOR) Asistente del Servic",https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-35423.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,cirugia-vascular-periferica,Cirugia Vascular Periferica,Médico especialista en Cirugia Vascular Periferica,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Jueves,09:30,12:00,2025-11-22
Clínica San Pablo,Dr. Manuel Omar Acosta Orbegozo,30048,14770072,True,"Médico egresado en la Universidad Nacional Mayor de San Marcos. Especialista en urología en la Universidad Nacional Mayor de San Marcos. Especialista en tratamiento quirúrgico de nefrectomía, prostatectomía, varicocele y colación de talla vesical.",https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-36884.png,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,urologia,Urologia,Médico especialista en Urologia,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Martes,02:30,06:00,2025-11-22
Clínica San Pablo,Dr. Manuel Omar Acosta Orbegozo,30048,14770072,True,"Médico egresado en la Universidad Nacional Mayor de San Marcos. Especialista en urología en la Universidad Nacional Mayor de San Marcos. Especialista en tratamiento quirúrgico de nefrectomía, prostatectomía, varicocele y colación de talla vesical.",https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-36884.png,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,urologia,Urologia,Médico especialista en Urologia,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Viernes,04:00,07:00,2025-11-22
Clínica San Pablo,Dr. Oscar Manuel Acosta Tapia,27213,14770065,True,tÃƒÂ­lde,https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-30048.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,medicina-interna,Medicina Interna,Médico especialista en Medicina Interna,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Lunes,10:00,01:00,2025-11-22
Clínica San Pablo,Dr. Oscar Manuel Acosta Tapia,27213,14770065,True,tÃƒÂ­lde,https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-30048.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,medicina-interna,Medicina Interna,Médico especialista en Medicina Interna,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Martes,10:00,01:00,2025-11-22
Clínica San Pablo,Dr. Oscar Manuel Acosta Tapia,27213,14770065,True,tÃƒÂ­lde,https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-30048.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,medicina-interna,Medicina Interna,Médico especialista en Medicina Interna,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Miércoles,10:00,01:00,2025-11-22
Clínica San Pablo,Dr. Oscar Manuel Acosta Tapia,27213,14770065,True,tÃƒÂ­lde,https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-30048.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,medicina-interna,Medicina Interna,Médico especialista en Medicina Interna,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Jueves,10:00,01:00,2025-11-22
Clínica San Pablo,Dr. Oscar Manuel Acosta Tapia,27213,14770065,True,tÃƒÂ­lde,https://www.qualab.com.pe/STAFF02/staff-oracle/upload/surco/foto-30048.jpg,https://mivida.sanpablo.com.pe/PortalPaciente/Inicio,medicina-interna,Medicina Interna,Médico especialista en Medicina Interna,surco,San Pablo Surco,Av. El Polo 789,Santiago de Surco,presencial,Presencial,Viernes,10:00,01:00,2025-11-22
